LAND1,SPRAS,INTCA,INTCA3,INTCN3
AD,S,AD,AND,20
AE,S,AE,ARE,784
CU,S,CU,CUB,192
CV,S,CV,CPV,132
CW,S,CW,CUW,531
CX,S,CX,CXR,162
CY,S,CY,CYP,196
CZ,S,CZ,CZE,203
DE,S,DE,DEU,276
IN,S,IN,IND,356
